"original","country","type","idREZE","department","apYear","apSerie","apID","date","journal"
"Guinée, NAT, 2021X 006194, 076","Guinée","NAT","2021X006194",76,"2021X","006","194",2021-08-05,"0180"
"Maroc, NAT, 2021X 004510, 047","Maroc","NAT","2021X004510",47,"2021X","004","510",2021-08-05,"0180"
"Bosnie-Herzégovine, NAT, 2021X 006134, 074","Bosnie-Herzégovine","NAT","2021X006134",74,"2021X","006","134",2021-08-05,"0180"
"République centrafricaine,  NAT, 2020X 034823, 049","République centrafricaine","NAT","2020X034823",49,"2020X","034","823",2021-08-05,"0180"
"Roumanie, NAT, 2021X 304087, 059","Roumanie","NAT","2021X304087",59,"2021X","304","087",2021-08-05,"0180"
"Côte d’Ivoire, NAT, 2021X 007245, 075","Côte d’Ivoire","NAT","2021X007245",75,"2021X","007","245",2021-08-05,"0180"
"Côte d’Ivoire, NAT, 2021X 302334, 094","Côte d’Ivoire","NAT","2021X302334",94,"2021X","302","334",2021-08-05,"0180"
"Syrie, NAT, 2020X 010051, 091","Syrie","NAT","2020X010051",91,"2020X","010","051",2021-08-05,"0180"
"Haïti, NAT, 2021X 303652, 033","Haïti","NAT","2021X303652",33,"2021X","303","652",2021-08-05,"0180"
"37200, EFF, 2021X 303473, 037","France","EFF","2021X303473",37,"2021X","303","473",2021-08-05,"0180"
"Congo-Brazzaville, NAT, 2021X 303938, 077","Congo-Brazzaville","NAT","2021X303938",77,"2021X","303","938",2021-08-05,"0180"
"37200, EFF, 2021X 303473, 037","France","EFF","2021X303473",37,"2021X","303","473",2021-08-05,"0180"
"Bénin, NAT, 2020X 034239, 089","Bénin","NAT","2020X034239",89,"2020X","034","239",2021-08-05,"0180"
"Portugal, NAT, 2021X 001363, 094","Portugal","NAT","2021X001363",94,"2021X","001","363",2021-08-05,"0180"
"Algérie, NAT, 2021X 302337, 006","Algérie","NAT","2021X302337",6,"2021X","302","337",2021-08-05,"0180"
"Tunisie, NAT, 2021X 303725, 033","Tunisie","NAT","2021X303725",33,"2021X","303","725",2021-08-05,"0180"
"Mauritanie, NAT, 2021X 008488, 078","Mauritanie","NAT","2021X008488",78,"2021X","008","488",2021-08-05,"0180"
"Brésil, NAT, 2021X 002060, 034","Brésil","NAT","2021X002060",34,"2021X","002","060",2021-08-05,"0180"
"Angola, NAT, 2021X 002003, 072","Angola","NAT","2021X002003",72,"2021X","002","003",2021-08-05,"0180"
