"","original","country","type","idREZE","department","apYear","apSerie","apID","date","journal","filename","processDate"
"1908","Maroc, NAT, 2019X 046107, 075","Maroc","NAT","2019X046107","075","2019","046","107","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1909","Royaume-Uni, NAT, 2020X 030929, 074","Royaume-Uni","NAT","2020X030929","074","2020","030","929","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1910","92150, EFF, 2021X 001175, 075","France","EFF","2021X001175","075","2021","001","175","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1911","Maurice, NAT, 2017X 025353, 075","Maurice","NAT","2017X025353","075","2017","025","353","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1912","Royaume-Uni, NAT, 2020X 033185, 072","Royaume-Uni","NAT","2020X033185","072","2020","033","185","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1913","Côte d’Ivoire, NAT, 2020X 028252, 092","Côte d’Ivoire","NAT","2020X028252","092","2020","028","252","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1914","Vietnam, NAT, 2021X 303135, 031","Vietnam","NAT","2021X303135","031","2021","303","135","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1915","Vietnam, NAT, 2020X 029295, 010","Vietnam","NAT","2020X029295","010","2020","029","295","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1916","Turquie, NAT, 2021X 003864, 077","Turquie","NAT","2021X003864","077","2021","003","864","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
"1917","Venezuela, NAT, 2020X 102179, 075","Venezuela","NAT","2020X102179","075","2020","102","179","20210729","0174","joe_20210729_0174_c000.pdf","Wed Aug 18 12:17:41 2021"
